model,term,coef,std_err,p_value,ci_low,ci_high
BASIC_WLS_GIVEPIFR_INCOME,Intercept,3.8446701827264587,0.4789172861900112,9.920570535420716e-16,2.906009550220375,4.783330815232542
BASIC_WLS_GIVEPIFR_INCOME,C(SEX)[T.2.0],-0.06072328679373955,0.07511806930097138,0.41887690328933047,-0.20795199721182733,0.08650542362434822
BASIC_WLS_GIVEPIFR_INCOME,INCOME,0.011406712955576255,0.008770433740491067,0.19339982607255057,-0.005783021304581146,0.028596447215733657
BASIC_WLS_GIVEPIFR_INCOME,RANK,-0.06627436712067361,0.027042015993462967,0.01425421396121308,-0.11927574453721715,-0.013272989704130066
BASIC_WLS_GIVEPIFR_INCOME,SATFIN,-0.08981825864933494,0.046756967150356744,0.054736763909199446,-0.18146023029035657,0.0018237129916866823
BASIC_WLS_GIVEPIFR_INCOME,FINPROS,-0.04339512902434233,0.051921422678439424,0.40327605322878446,-0.1451592475001648,0.058368989451480134
BASIC_WLS_GIVEPIFR_INCOME,AGE,-0.012080908309444789,0.015369279851319185,0.43184254496790775,-0.04220414328634751,0.018042326667457934
BASIC_WLS_GIVEPIFR_INCOME,I(AGE ** 2),0.00029614168638732175,0.00014210306037156466,0.03716086590253946,1.7624805966134048e-05,0.0005746585668085094
BASIC_WLS_GIVEPIFR_INCOME,EDUC,0.02251784949822411,0.031214491792624414,0.47066906020279653,-0.03866143021104085,0.08369712920748908
BASIC_WLS_GIVEPIFR_logINCOM0,Intercept,3.640000609114899,0.5011518582054324,3.778462697422572e-13,2.6577610162469276,4.622240201982871
BASIC_WLS_GIVEPIFR_logINCOM0,C(SEX)[T.2.0],-0.05765020692458812,0.07518677709410516,0.4432242724147224,-0.20501358214267534,0.08971316829349912
BASIC_WLS_GIVEPIFR_logINCOM0,log_INCOM0,0.04675054507771049,0.061639064781326,0.44817778633659433,-0.07405980193441972,0.1675608920898407
BASIC_WLS_GIVEPIFR_logINCOM0,RANK,-0.06143349883737362,0.026978692066177826,0.022779548487559836,-0.11431076363707865,-0.008556234037668586
BASIC_WLS_GIVEPIFR_logINCOM0,SATFIN,-0.09434167068848695,0.046897561237812,0.04425641372850948,-0.18625920167736015,-0.0024241396996137615
BASIC_WLS_GIVEPIFR_logINCOM0,FINPROS,-0.04576716221781851,0.05188723794157748,0.37774951912254995,-0.1474642798405706,0.05592995540493355
BASIC_WLS_GIVEPIFR_logINCOM0,AGE,-0.010884732318001732,0.01589522679284737,0.49348280084626417,-0.042038804358078684,0.020269339722075223
BASIC_WLS_GIVEPIFR_logINCOM0,I(AGE ** 2),0.0002823343450249606,0.00014820266887144204,0.05677282588287487,-8.137548375781165e-06,0.0005728062384257024
BASIC_WLS_GIVEPIFR_logINCOM0,EDUC,0.027615281309719936,0.030982009655138063,0.3727506590390043,-0.03310834178302289,0.08833890440246275
BASIC_WLS_GIVEPIPC_INCOME,Intercept,4.879242745109315,0.4190571569963826,2.4798203882939385e-31,4.057905809932659,5.700579680285972
BASIC_WLS_GIVEPIPC_INCOME,C(SEX)[T.2.0],-0.011128968031820941,0.06533857173602296,0.8647524354717683,-0.13919021543571267,0.11693227937207078
BASIC_WLS_GIVEPIPC_INCOME,INCOME,0.001648527110670346,0.0076577419668877374,0.8295522367994269,-0.013360371347330533,0.016657425568671225
BASIC_WLS_GIVEPIPC_INCOME,RANK,-0.06691635429779863,0.025669784761395257,0.0091388988405603,-0.11722820792102845,-0.01660450067456882
BASIC_WLS_GIVEPIPC_INCOME,SATFIN,-0.07767909731326653,0.04098359189188661,0.05804331387700144,-0.15800546137845206,0.0026472667519190085
BASIC_WLS_GIVEPIPC_INCOME,FINPROS,-0.08783931411515211,0.04840799621239192,0.06959123493641221,-0.18271724325519162,0.007038615024887396
BASIC_WLS_GIVEPIPC_INCOME,AGE,-0.029125814221565027,0.013584478801351512,0.03202880730584073,-0.05575090342096183,-0.002500725022168221
BASIC_WLS_GIVEPIPC_INCOME,I(AGE ** 2),0.0003734460717642358,0.00012773346974136553,0.0034596991411918157,0.0001230930714508226,0.000623799072077649
BASIC_WLS_GIVEPIPC_INCOME,EDUC,0.05289475188638854,0.02786914615378619,0.05770027722548055,-0.0017277708549153573,0.10751727462769245
BASIC_WLS_GIVEPIPC_logINCOM0,Intercept,4.86221972164106,0.4354103813933229,5.915709573760194e-29,4.008831055615299,5.715608387666822
BASIC_WLS_GIVEPIPC_logINCOM0,C(SEX)[T.2.0],-0.010577269891750667,0.06524888988036405,0.8712219788998344,-0.13846274408848422,0.11730820430498287
BASIC_WLS_GIVEPIPC_logINCOM0,log_INCOM0,0.003635129749528618,0.05602929918629644,0.9482702720453854,-0.10618027873463176,0.113450538233689
BASIC_WLS_GIVEPIPC_logINCOM0,RANK,-0.0658398694749064,0.025774002873655593,0.01063383067462479,-0.11635598684470322,-0.015323752105109584
BASIC_WLS_GIVEPIPC_logINCOM0,SATFIN,-0.07866467467026413,0.04093531730011714,0.05464574584857068,-0.15889642227421313,0.0015670729336848682
BASIC_WLS_GIVEPIPC_logINCOM0,FINPROS,-0.0882512209598888,0.04848673661337163,0.06874217094697167,-0.18328347844997678,0.00678103653019918
BASIC_WLS_GIVEPIPC_logINCOM0,AGE,-0.028719489921894478,0.014082024914014031,0.04140581483622367,-0.05631975158275773,-0.0011192282610312243
BASIC_WLS_GIVEPIPC_logINCOM0,I(AGE ** 2),0.0003688492912718926,0.00013363507462620358,0.005777953916055493,0.00010692935793321114,0.0006307692246105741
BASIC_WLS_GIVEPIPC_logINCOM0,EDUC,0.05392275049196873,0.027685313085728167,0.05145058385945371,-0.0003394660567739502,0.1081849670407114
