model,term,coef,std_err,p_value,ci_low,ci_high
BASIC_LOGIT_GIVEPIFR_agree,Intercept,0.6190575867506674,0.7863930504140259,0.431158115502133,-0.9222444697534145,2.160359643254749
BASIC_LOGIT_GIVEPIFR_agree,C(SEX)[T.2.0],-0.1168257225899798,0.12523151838664523,0.35088298651259675,-0.36227498835707,0.12862354317711044
BASIC_LOGIT_GIVEPIFR_agree,INCOME,0.014322583676502047,0.014160039247518937,0.3117871819150635,-0.013430583268308717,0.04207575062131281
BASIC_LOGIT_GIVEPIFR_agree,RANK,-0.11241086121854219,0.04848565612591593,0.020425670392413203,-0.20744100099213125,-0.017380721444953118
BASIC_LOGIT_GIVEPIFR_agree,SATFIN,-0.17363634480535697,0.08015001082743478,0.030281242337547847,-0.33072747938762453,-0.016545210223089413
BASIC_LOGIT_GIVEPIFR_agree,FINPROS,-0.14113551100983526,0.08744856043517389,0.10654346427609657,-0.3125315399626504,0.030260517942979875
BASIC_LOGIT_GIVEPIFR_agree,AGE,-0.0025315718155237486,0.025224180272804295,0.9200562246226485,-0.051970056689765884,0.046906913058718386
BASIC_LOGIT_GIVEPIFR_agree,I(AGE ** 2),0.0003060366491569486,0.00024175962714152556,0.20555905098544125,-0.0001678035129562736,0.0007798768112701708
BASIC_LOGIT_GIVEPIFR_agree,EDUC,0.04587066713096825,0.053240608568690964,0.3889225725011748,-0.058479008178660634,0.15022034244059712
BASIC_LOGIT_GIVEPIPC_agree,Intercept,1.205520473782479,0.8346716342379005,0.14865318003775152,-0.430405868240995,2.841446815805953
BASIC_LOGIT_GIVEPIPC_agree,C(SEX)[T.2.0],-0.04033680824296729,0.12986402221179233,0.7560986211018423,-0.2948656146655899,0.2141919981796553
BASIC_LOGIT_GIVEPIPC_agree,INCOME,0.009422564891518184,0.014727916364120614,0.5223183493369202,-0.019443620749476323,0.03828875053251269
BASIC_LOGIT_GIVEPIPC_agree,RANK,-0.12722085167510744,0.05155841379305036,0.013605678918319838,-0.2282734858094993,-0.026168217540715577
BASIC_LOGIT_GIVEPIPC_agree,SATFIN,0.0464239372585775,0.08069042628385298,0.5650655020453751,-0.1117263921549585,0.20457426667211348
BASIC_LOGIT_GIVEPIPC_agree,FINPROS,-0.19409442761475698,0.08951423778437184,0.03013526890005949,-0.3695391097756803,-0.018649745453833688
BASIC_LOGIT_GIVEPIPC_agree,AGE,-0.021956339142167047,0.026875794522073948,0.413953625408201,-0.07463192846133086,0.030719250176996768
BASIC_LOGIT_GIVEPIPC_agree,I(AGE ** 2),0.0003548430323984772,0.0002574996175971123,0.16819302555509041,-0.00014984694412469924,0.0008595330089216537
BASIC_LOGIT_GIVEPIPC_agree,EDUC,0.14164165115138616,0.05510458649285122,0.01015767746146249,0.033638646242425435,0.2496446560603469
