model,term,coef,std_err,p_value,ci_low,ci_high
Z_WLS_GIVEPIFR,Intercept,3.3216493298521277,0.14223117262870683,1.2586542293037854e-120,3.042881354020963,3.600417305683292
Z_WLS_GIVEPIFR,C(SEX)[T.2.0],-0.051947332802879234,0.07773254098216054,0.5039529864677703,-0.20430031355469763,0.10040564794893918
Z_WLS_GIVEPIFR,z_INCOME,0.07925698707440457,0.04864351450213417,0.10324035315568693,-0.016082549431230234,0.17459652358003935
Z_WLS_GIVEPIFR,z_RANK,-0.10473436445987472,0.04363921017424451,0.016394804957569235,-0.19026564471516785,-0.019203084204581583
Z_WLS_GIVEPIFR,z_SATFIN,-0.08532400776553996,0.043707548031639495,0.05091953522913181,-0.1709892277601079,0.00034121222902798454
Z_WLS_GIVEPIFR,z_FINPROS,-0.030532951044685435,0.04184233364349591,0.4655648114335963,-0.11254241801504604,0.05147651592567516
Z_WLS_GIVEPIFR,z_AGE,0.29682479568898995,0.05147956448149567,8.123467598028358e-09,0.19592670336545107,0.39772288801252886
Z_WLS_GIVEPIFR,I(z_AGE ** 2),0.09274560353240056,0.0432280384138717,0.03191317389410458,0.008020205118898074,0.17747100194590304
Z_WLS_GIVEPIFR,EDUC,0.0357108015661053,0.03382292330457598,0.29105204402203433,-0.030580909962724084,0.10200251309493469
Z_WLS_GIVEPIFR,z_ABLITINF,0.04900158213030327,0.04923324999564996,0.31959305995673026,-0.04749381470302742,0.14549697896363395
Z_WLS_GIVEPIFR,z_TECHHARM,0.05021130555755822,0.03804212329440248,0.18687273480095967,-0.02434988599490287,0.12477249711001931
Z_WLS_GIVEPIPC,Intercept,3.5059882246694607,0.12468054887494365,5.615771013287312e-174,3.2616188393018852,3.750357610037036
Z_WLS_GIVEPIPC,C(SEX)[T.2.0],0.033032485264517096,0.06710258998329081,0.6225296090799164,-0.09848617437209109,0.1645511449011253
Z_WLS_GIVEPIPC,z_INCOME,0.03451492127042185,0.042712068431009956,0.4190424680011954,-0.04919919455956787,0.11822903710041158
Z_WLS_GIVEPIPC,z_RANK,-0.09601061892826535,0.041051624291097516,0.01934694710817735,-0.1764703240456861,-0.015550913810844585
Z_WLS_GIVEPIPC,z_SATFIN,-0.0687412617670611,0.038416646332938745,0.07355664119360877,-0.14403650498643378,0.006553981452311591
Z_WLS_GIVEPIPC,z_FINPROS,-0.06388189620837016,0.03954532954767083,0.10622207070721404,-0.14138931787857262,0.013625525461832294
Z_WLS_GIVEPIPC,z_AGE,0.16415834936054935,0.049220591120997345,0.0008525156200959158,0.0676877634656226,0.2606289352554761
Z_WLS_GIVEPIPC,I(z_AGE ** 2),0.11177974367965217,0.039684494378249544,0.004851819277791814,0.03399956395360082,0.18955992340570352
Z_WLS_GIVEPIPC,EDUC,0.05672425754997442,0.029833829322219813,0.05725747319621334,-0.0017489734424914263,0.11519748854244027
Z_WLS_GIVEPIPC,z_ABLITINF,0.022792093655139737,0.043247205909933875,0.5981804834842231,-0.06197087236031844,0.1075550596705979
Z_WLS_GIVEPIPC,z_TECHHARM,0.19285049517131186,0.033172111668993344,6.1131226495949074e-09,0.12783435100894405,0.2578666393336797
