model,term,coef,std_err,p_value,ci_low,ci_high
OLS_WLS_GIVEPIFR_INCOME,Intercept,3.7067075278205985,0.5603362847676606,3.711798675675069e-11,2.6084685904450042,4.804946465196193
OLS_WLS_GIVEPIFR_INCOME,C(SEX)[T.2.0],-0.051947332802878214,0.0777325409821597,0.5039529864677741,-0.204300313554695,0.10040564794893855
OLS_WLS_GIVEPIFR_INCOME,INCOME,0.01467805837852261,0.009008572896274158,0.10324035315568486,-0.0029784200502784262,0.03233453680732365
OLS_WLS_GIVEPIFR_INCOME,RANK,-0.06988266069295403,0.02911770299311457,0.016394804957569568,-0.1269523098719927,-0.01281301151391534
OLS_WLS_GIVEPIFR_INCOME,SATFIN,-0.09626076206230773,0.04930994208525466,0.05091953522913504,-0.19290647262916277,0.0003849485045473028
OLS_WLS_GIVEPIFR_INCOME,FINPROS,-0.03965263509902039,0.054339941960695706,0.4655648114335861,-0.1461569642639808,0.06685169406594005
OLS_WLS_GIVEPIFR_INCOME,AGE,-0.020874141138285694,0.018171002225205006,0.25065448931188505,-0.056488651062684685,0.014740368786113296
OLS_WLS_GIVEPIFR_INCOME,I(AGE ** 2),0.00037861275816547415,0.00017646860045760198,0.03191317389409748,3.274065686638579e-05,0.0007244848594645625
OLS_WLS_GIVEPIFR_INCOME,EDUC,0.03571080156610868,0.033822923304575835,0.2910520440219866,-0.030580909962720428,0.1020025130949378
OLS_WLS_GIVEPIFR_INCOME,ABLITINF,0.04343052100895385,0.043635850217840326,0.3195930599567217,-0.042094173852797456,0.12895521587070516
OLS_WLS_GIVEPIFR_INCOME,TECHHARM,0.05378263035098395,0.04074790392701559,0.18687273480096023,-0.026081793791464844,0.13364705449343273
OLS_WLS_GIVEPIFR_logINCOM0,Intercept,3.369658723667262,0.5796608881038193,6.130616226142612e-09,2.2335442597372737,4.50577318759725
OLS_WLS_GIVEPIFR_logINCOM0,C(SEX)[T.2.0],-0.049174971420044795,0.07774657996747877,0.5270580273551468,-0.20155546807746644,0.10320552523737686
OLS_WLS_GIVEPIFR_logINCOM0,log_INCOM0,0.07561635866849138,0.06521224526560565,0.24623519354764456,-0.05219729340308833,0.2034300107400711
